"ID","CEREB_AG","PFC_AG","PFC_1AG","CEREB_2AG","PFC_2AG","PL_1AG","PL_2AG","PL_AG","CEREB_AEA","PFC_AEA","CEREB_OEA","PFC_OEA","CEREB_PEA","PFC_PEA","PL_AEA","PL_OEA","PL_PEA","CEREB_C16Ceramid","HPC_C16Ceramid","PFC_C16Ceramid","CEREB_C18Ceramid","HPC_C18Ceramid","PFC_C18Ceramid","CEREB_C20Ceramid","HPC_C20Ceramid","PFC_C20Ceramid","PL_C16Ceramid","PL_C20Ceramid","PL_C24Ceramid","PL_C24_1Ceramid","CEREB_C18Sphinganin","HPC_C18Sphinganin","PFC_C18Sphinganin","PL_Sphinganin","PL_Sphinganin.1P","PL_Sphingosin","PL_Sphingosin.1P","PL_C16Sphinganin","PL_C18Sphinganin","PL_C24Sphinganin","PL_C24_1Sphinganin","CEREB_Sphinganin","HPC_Sphinganin","PFC_Sphinganin","CEREB_Sphingosin","HPC_Sphingosin","PFC_Sphingosin","CEREB_Sphingosin.1P","HPC_Sphingosin.1P","PFC_Sphingosin.1P","CEREB_LPA16_0","CEREB_LPA18_0","CEREB_LPA18_1","CEREB_LPA18_2","CEREB_LPA18_3","CEREB_LPA20_4","PL_LPA16_0","PL_LPA18_0","PL_LPA18_1","PL_LPA18_2","PL_LPA18_3","PL_LPA20_4"
1,4479.89031078611,2809.36613055818,349.57426679281,4127.05667276051,2459.79186376537,4.19607843137255,23.0392156862745,27.2352941176471,76.3254113345521,65.752128666036,154.021937842779,63.8599810785241,334.095063985375,112.582781456954,1.29411764705882,2,4.11764705882353,231.834975369458,154.298642533937,194.201312910284,38793.1034482759,38054.2986425339,72210.0656455142,2416.87192118227,2045.24886877828,3998.90590809628,24.2,19,313,475,1890.39408866995,2013.57466063348,3791.0284463895,5.24,39.2,15.6,207,12.4,4.4,25,69.6,427.955665024631,552.036199095023,409.190371991247,1708.74384236453,2054.29864253394,1460.61269146608,269.088669950739,538.461538461539,350.109409190372,2139.10761154856,394.13823272091,686.789151356081,65.1793525809274,19.6412948381452,14.1294838145232,53.7254901960784,5.66666666666667,39.3137254901961,243.137254901961,9.20588235294118,7.09803921568627
2,2102.7149321267,1856.08646188851,115.47212741752,1945.70135746606,1740.61433447099,4.32352941176471,30.9803921568627,35.3039215686275,80.9954751131222,48.9761092150171,91.4027149321267,46.7007963594995,180.090497737557,92.7189988623436,0.606862745098039,2.77450980392157,1.8921568627451,398.297067171239,402.564102564103,150.118203309693,35430.4635761589,96581.1965811966,36820.3309692671,1721.85430463576,3094.01709401709,2180.85106382979,39.1,27.6,381,547,1802.27057710501,4128.20512820513,2304.96453900709,5.63,20.6,16.8,140,11.9,14,37.8,51.3,596.026490066225,812.820512820513,317.375886524823,1840.11352885525,2222.22222222222,1436.17021276596,332.071901608325,593.162393162393,691.489361702128,1121.30885873903,206.304868316042,375.897845171588,9.93615323224262,1.14525139664804,0.893854748603352,69.2156862745098,6.22549019607843,37.9411764705882,322.549019607843,8.81372549019608,11.6666666666667
3,NA,2610.07462686567,246.890547263682,NA,2363.18407960199,7.55882352941176,26.5686274509804,34.1274509803922,NA,53.2960199004975,NA,62.8109452736318,NA,139.925373134328,0.541176470588235,1.92156862745098,3.8921568627451,NA,263.363028953229,154.822335025381,NA,80734.9665924276,46510.152284264,NA,3017.81737193764,1922.58883248731,33.9,16.5,574,696,NA,2683.7416481069,2512.69035532995,3.45,21,8.88,162,14.9,3.25,35.7,67.8,NA,536.19153674833,458.756345177665,NA,2266.14699331849,1713.19796954315,NA,526.726057906459,604.060913705584,NA,NA,NA,NA,NA,NA,49.1176470588235,0.92843137254902,42.4509803921569,322.549019607843,9.90196078431373,7.65686274509804
4,3117.73794808406,NA,NA,2812.11372064277,NA,NA,NA,NA,65.512978986403,NA,120.210135970334,NA,218.479604449938,NA,NA,NA,NA,186.284046692607,100.96463022508,322.834645669291,21741.2451361868,16012.8617363344,71991.0011248594,491.245136186771,900.32154340836,2272.21597300338,32.1,20.6,468,717,1040.8560311284,1202.57234726688,3942.63217097863,7.03,17.6,21.4,150,14,8.06,31.8,66.9,924.124513618677,395.498392282958,440.944881889764,2242.21789883269,1752.4115755627,1681.66479190101,455.252918287938,495.176848874598,425.759280089989,3770.07607776839,409.551986475064,621.301775147929,31.2764158918005,67.6246830092984,11.4116652578191,NA,NA,NA,NA,NA,NA
5,3929.60750853242,1560.40268456376,137.58389261745,3600.68259385666,1422.81879194631,6.42156862745098,47.156862745098,53.578431372549,69.1126279863481,71.8120805369128,116.894197952218,85.9060402684564,241.040955631399,157.718120805369,0.392156862745098,1.29411764705882,2.04901960784314,461.502782931354,79.4785534062237,316.565040650407,48237.4768089054,43313.708999159,85873.9837398374,2082.56029684601,1753.57443229605,3699.18699186992,22.1,16.2,502,737,5102.04081632653,2603.02775441548,3495.93495934959,2.3,18.9,5.31,134,8.88,2.69,27.6,70.8,621.52133580705,525.65180824222,584.349593495935,1669.75881261596,1968.04037005887,2332.31707317073,222.170686456401,428.931875525652,398.882113821138,1850.69984447901,243.779160186625,505.443234836703,12.2861586314152,NA,15.0466562986003,91.3725490196079,8.65686274509804,47.5490196078431,457.843137254902,12.2549019607843,17.4509803921569
6,3948.78472222222,1472.09026128266,100.356294536817,3663.19444444445,1371.73396674584,8.67647058823529,24.7058823529412,33.3823529411765,41.6666666666667,48.1591448931116,64.6701388888889,42.2802850356295,108.506944444444,71.8527315914489,0.711764705882353,3.70588235294118,9.14705882352941,201.351351351351,352.451433857539,72.5338491295938,29054.0540540541,65679.9259944496,28336.5570599613,1040.54054054054,1609.62072155412,1499.03288201161,35.2,10.7,549,895,1567.56756756757,2622.57169287697,1687.62088974855,3.93,21,7.25,170,21.6,2.81,48.9,61.6,518.018018018018,541.165587419056,344.294003868472,1581.08108108108,2261.7946345976,1590.90909090909,289.189189189189,855.689176688252,480.174081237911,2438.92165122157,290.227464195451,610.78348778433,54.3386689132266,8.6352148272957,25.3580454928391,58.921568627451,1.64705882352941,46.5686274509804,331.372549019608,11.078431372549,8.7843137254902
7,2888.45014807502,3548.02259887006,497.175141242938,2670.28627838105,3050.84745762712,2.69607843137255,26.078431372549,28.7745098039216,71.076011846002,60.8286252354049,91.3129318854886,76.4595103578154,142.152023692004,161.016949152542,0.386274509803922,1.57843137254902,1.87254901960784,247.030878859857,187.851971037812,137.587822014052,21575.613618369,50683.8294448914,60304.449648712,653.206650831354,1363.63636363636,2775.1756440281,34.4,34.1,595,888,819.477434679335,1983.10539018504,3325.52693208431,3.15,18.1,6.28,152,14,5.16,40.6,98,323.436262866192,623.491552695093,626.463700234192,1215.360253365,2361.22284794851,1914.51990632319,372.525732383215,161.30329847144,484.777517564403,1873.1884057971,293.840579710145,807.971014492754,30.5434782608696,0.992753623188406,8.55072463768116,64.4117647058824,1.23529411764706,44.4117647058824,403.921568627451,15.8823529411765,9.63725490196078
8,3518.4,NA,NA,3216,NA,3.34313725490196,21.7647058823529,25.1078431372549,60.4,NA,116.8,NA,195.6,NA,0.547058823529412,2.72549019607843,3.79411764705882,67.1921921921922,106.650446066504,196.312364425163,19744.7447447447,51905.9205190592,55856.8329718004,878.378378378378,2461.47607461476,3145.33622559653,28.8,23.7,680,926,294.294294294294,2639.90267639903,2966.37744034707,2.72,20.3,6.24,158,20.8,4.42,48.7,84.4,472.972972972973,262.773722627737,386.117136659436,1741.74174174174,1597.72911597729,2055.31453362256,322.072072072072,164.233576642336,585.683297180043,2388,374.8,992,34.24,16.64,11.92,67.0588235294118,5.36274509803922,65,493.137254901961,16.6666666666667,13.921568627451
9,3201.77902621723,2536.40776699029,157.766990291262,2921.34831460674,2378.64077669903,5.82352941176471,38.1372549019608,43.9607843137255,74.438202247191,45.5501618122977,113.76404494382,51.9417475728155,195.692883895131,112.459546925566,0.485294117647059,2.37254901960784,1.43137254901961,311.361665221162,199.586349534643,97.5503062117235,38204.6834345187,55842.8128231644,44619.4225721785,1248.9158716392,2130.29989658738,2817.14785651794,31.5,19.5,711,959,1725.93235039029,3040.33092037229,3228.34645669291,3.72,27.7,7.47,171,25.8,7.77,46.4,55.4,511.708586296618,599.793174767322,385.826771653543,1669.55767562879,2347.46639089969,1609.79877515311,227.666955767563,462.254395036194,494.313210848644,2209.53326713009,335.650446871897,1112.21449851043,72.4925521350546,5.90863952333664,7.94438927507448,54.4117647058824,3.42156862745098,66.4705882352941,538.235294117647,19.1176470588235,10.4901960784314
10,5736.12228479485,2903.40909090909,197.443181818182,5229.28399034594,2705.96590909091,3.14705882352941,23.2352941176471,26.3823529411765,89.3000804505229,45.5965909090909,130.732099758648,38.5653409090909,263.475462590507,71.7329545454546,0.354901960784314,1.35294117647059,1.64705882352941,299.376299376299,117.359413202934,122.817229336438,18121.9681219681,35452.3227383863,43888.2421420256,994.455994455995,2872.86063569682,3253.78346915018,32.7,28.1,601,991,1146.91614691615,1833.74083129584,2013.9697322468,3.09,12.3,6.46,156,13.1,4.57,59.8,98.7,419.265419265419,320.904645476773,349.243306169965,1826.05682605683,1558.67970660147,1670.54714784633,360.36036036036,409.535452322738,1100.11641443539,1800.6993006993,225.524475524476,703.671328671329,56.8181818181818,NA,3.35227272727273,53.921568627451,2.93137254901961,52.156862745098,378.43137254902,14.6078431372549,7.15686274509804
